formulaA,formulaB,formulaA_elements_AtomicVolume,formulaB_elements_AtomicVolume,formulaA_elements_AtomicWeight,formulaB_elements_AtomicWeight,formulaA_elements_BoilingT,formulaB_elements_BoilingT,formulaA_elements_BulkModulus,formulaB_elements_BulkModulus,formulaA_elements_Column,formulaB_elements_Column,formulaA_elements_CovalentRadius,formulaB_elements_CovalentRadius,formulaA_elements_Density,formulaB_elements_Density,formulaA_elements_ElectronSurfaceDensityWS,formulaB_elements_ElectronSurfaceDensityWS,formulaA_elements_Electronegativity,formulaB_elements_Electronegativity,formulaA_elements_FirstIonizationEnergy,formulaB_elements_FirstIonizationEnergy,formulaA_elements_GSbandgap,formulaB_elements_GSbandgap,formulaA_elements_GSenergy_pa,formulaB_elements_GSenergy_pa,formulaA_elements_GSestBCClatcnt,formulaB_elements_GSestBCClatcnt,formulaA_elements_GSestFCClatcnt,formulaB_elements_GSestFCClatcnt,formulaA_elements_GSmagmom,formulaB_elements_GSmagmom,formulaA_elements_GSvolume_pa,formulaB_elements_GSvolume_pa,formulaA_elements_HHIp,formulaB_elements_HHIp,formulaA_elements_HHIr,formulaB_elements_HHIr,formulaA_elements_HeatCapacityMass,formulaB_elements_HeatCapacityMass,formulaA_elements_HeatCapacityMolar,formulaB_elements_HeatCapacityMolar,formulaA_elements_HeatFusion,formulaB_elements_HeatFusion,formulaA_elements_ICSDVolume,formulaB_elements_ICSDVolume,formulaA_elements_IsAlkali,formulaB_elements_IsAlkali,formulaA_elements_IsDBlock,formulaB_elements_IsDBlock,formulaA_elements_IsFBlock,formulaB_elements_IsFBlock,formulaA_elements_IsMetal,formulaB_elements_IsMetal,formulaA_elements_IsMetalloid,formulaB_elements_IsMetalloid,formulaA_elements_IsNonmetal,formulaB_elements_IsNonmetal,formulaA_elements_MeltingT,formulaB_elements_MeltingT,formulaA_elements_MendeleevNumber,formulaB_elements_MendeleevNumber,formulaA_elements_MiracleRadius,formulaB_elements_MiracleRadius,formulaA_elements_NUnfilled,formulaB_elements_NUnfilled,formulaA_elements_NValance,formulaB_elements_NValance,formulaA_elements_NdUnfilled,formulaB_elements_NdUnfilled,formulaA_elements_NdValence,formulaB_elements_NdValence,formulaA_elements_NfUnfilled,formulaB_elements_NfUnfilled,formulaA_elements_NfValence,formulaB_elements_NfValence,formulaA_elements_NpUnfilled,formulaB_elements_NpUnfilled,formulaA_elements_NpValence,formulaB_elements_NpValence,formulaA_elements_NsUnfilled,formulaB_elements_NsUnfilled,formulaA_elements_NsValence,formulaB_elements_NsValence,formulaA_elements_Number,formulaB_elements_Number,formulaA_elements_Polarizability,formulaB_elements_Polarizability,formulaA_elements_Row,formulaB_elements_Row,formulaA_elements_ShearModulus,formulaB_elements_ShearModulus,formulaA_elements_SpaceGroupNumber,formulaB_elements_SpaceGroupNumber,avg_coordination_A,avg_coordination_B,avg_nearest_neighbor_distance_A,avg_nearest_neighbor_distance_B,stabilityVec
As,Ni,21.72396574,10.94128444,74.9216,58.6934,887.0,3186.0,22.0,180.0,15,10,119,124,5727.0,8908.0,1.44,1.75,2.18,1.91,9.7886,7.6398,0.0,0.0,-4.650889115,-5.54632457,3.539684396,2.74306794,4.459722881,3.456049039,0.0,0.5953946999999999,22.175,10.32,3300,1000,4000,1500,0.32899999999999996,0.444,24.64,26.07,24.44,17.48,21.52,10.86,0,0,0,1,0,0,1,1,1,0,0,0,1090.0,1728.0,84,61,115,126,3,2,15,10,0,2,10,8,0,0,0,0,3,0,3,0,0,0,2,2,33,28,4.31,6.8,4,4,0.0,76.0,166,225,3.0,12.0,2.5579,2.4805599999999997,"[1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0]"
Cr,Ru,12.09293747,13.56787441,51.9961,101.07,2944.0,4423.0,160.0,220.0,6,8,139,146,7140.0,12370.0,1.73,1.83,1.66,2.2,6.76651,7.3605,0.0,0.0,-9.50571654,-9.19463357,2.8180802789999997,3.000740558,3.550558664,3.780696194,0.0,0.0,11.19,13.51,3100,3200,4100,8000,0.449,0.23800000000000002,23.35,24.06,21.0,38.59,12.01,14.03,0,0,1,1,0,0,1,1,0,0,0,0,2180.0,2607.0,49,56,130,134,6,4,6,8,5,3,5,7,0,0,0,0,0,0,0,0,1,1,1,1,24,44,11.6,9.6,4,5,115.0,173.0,229,194,8.0,12.0,2.46785,2.66567,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Nd,Sr,34.16905488,55.32313078,144.24200000000002,87.62,3373.0,1655.0,32.0,0.0,3,2,201,195,7010.0,2630.0,1.2,0.84,1.14,0.95,5.525,5.69485,0.0,0.0,-4.76235134,-1.6828136000000002,4.1138142,4.768954732,5.183081107,6.008506453,0.0,0.0,34.81,54.23,9500,4200,3100,3000,0.19,0.306,27.45,26.79,7.14,7.43,34.2,56.08,0,1,0,0,1,0,1,1,0,0,0,0,1294.0,1050.0,19,8,182,212,10,0,6,2,0,0,0,0,10,0,4,0,0,0,0,0,0,0,2,2,60,38,31.4,25.55,6,5,16.0,6.1,194,225,12.0,12.0,3.6671,4.26546,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Sr,Bi,55.32313078,35.48345908,87.62,208.9804,1655.0,1837.0,0.0,31.0,2,15,195,148,2630.0,9780.0,0.84,1.16,0.95,2.02,5.69485,7.2855,0.0,0.0,-1.6828136000000002,-3.9736943999999994,4.768954732,4.039197959,6.008506453,5.089070533,0.0,0.0,54.23,32.95,4200,5300,3000,6000,0.306,0.122,26.79,25.52,7.43,11.106,56.08,35.38,1,0,0,0,0,0,1,1,0,0,0,0,1050.0,544.4,8,86,212,162,0,3,2,29,0,0,0,10,0,0,0,14,0,3,0,3,0,0,2,2,38,83,25.55,0.4,5,6,6.1,12.0,225,12,12.0,3.0,4.26546,3.1122099999999997,"[1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0]"
Pt,W,15.36046351,15.85873442,195.084,183.84,4098.0,5828.0,230.0,310.0,10,6,136,162,21090.0,19250.0,1.78,1.81,2.28,2.36,8.9588,7.8640300000000005,0.0,0.0,-6.02850968,-12.95880062,3.108612885,3.1781057510000004,3.91660681,4.004162334,0.0,0.0,15.02,16.05,5500,7000,9100,4300,0.133,0.132,25.86,24.27,22.175,52.31,15.1,15.85,0,0,1,1,0,0,1,1,0,0,0,0,2041.4,3695.0,63,51,139,135,2,6,24,20,1,6,9,4,0,0,14,14,0,0,0,0,1,0,1,2,78,74,6.5,11.1,6,6,61.0,161.0,225,229,12.0,8.0,2.812,2.76038,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0]"
Nd,Ta,34.16905488,18.04672956,144.24200000000002,180.94788,3373.0,5731.0,32.0,200.0,3,5,201,170,7010.0,16650.0,1.2,1.63,1.14,1.5,5.525,7.54957,0.0,0.0,-4.76235134,-11.85139954,4.1138142,3.309248619,5.183081107,4.169391995,0.0,0.0,34.81,18.12,9500,2300,3100,4800,0.19,0.14,27.45,25.36,7.14,36.57,34.2,17.65,0,0,0,1,1,0,1,1,0,0,0,0,1294.0,3290.0,19,48,182,145,10,7,6,19,0,7,0,3,10,0,4,14,0,0,0,0,0,0,2,2,60,73,31.4,13.1,6,6,16.0,69.0,194,229,12.0,8.0,3.6671,2.8727,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Gd,Eu,33.04972431,48.12129236,157.25,151.964,3523.0,1800.0,38.0,8.3,3,3,196,198,7901.0,5244.0,1.21,0.88,1.2,1.185,6.1498,5.670380000000001,0.0,0.0,-4.65442131,-1.82958684,4.002082249,4.177811939,5.0423076689999995,5.263713205,0.0,0.0,32.05,36.46,9500,9500,3100,3100,0.235,0.182,37.03,27.66,9.67,9.21,32.98,48.53,0,0,0,0,1,1,1,1,0,0,0,0,1586.0,1095.0,27,25,176,196,16,7,10,9,9,0,1,0,7,7,7,7,0,0,0,0,0,0,2,2,64,63,23.5,27.7,6,6,22.0,7.9,194,229,12.0,12.0,3.58601,4.00957,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Y,Sn,33.01321288,26.96678526,88.90585,118.71,3618.0,2875.0,41.0,58.0,3,14,190,139,4472.0,7310.0,1.21,1.24,1.22,1.96,6.2173,7.34392,0.0,0.0,-6.464599775,-3.96104709,4.015150874,4.052840562,5.058773104,5.106259136,0.0,0.0,32.365,33.285,9800,2600,2600,1600,0.298,0.22699999999999998,26.53,26.99,11.39,7.15,32.97,27.05,0,0,1,0,0,0,1,1,0,0,0,0,1799.0,505.08,12,80,179,155,9,4,3,14,9,0,1,10,0,0,0,0,0,4,0,2,0,0,2,2,39,50,22.7,7.06,5,5,26.0,18.0,194,141,12.0,4.0,3.5339099999999997,2.87792,"[1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0]"
K,Pa,75.84786468,24.96116063,39.0983,231.03586,1032.0,4273.0,3.1,0.0,1,3,203,200,856.0,15370.0,0.65,0.0,0.82,1.5,4.3406633,5.89,0.0,0.0,-1.097539713,-9.49741247,5.268200874,3.692852039,6.637517176,4.652702018,0.0,0.0,73.10666667,25.18,1700,0,7200,0,0.757,0.0,29.6,0.0,2.335,12.34,75.63,24.94,1,0,0,0,0,1,1,1,0,0,0,0,336.53,1845.0,3,18,230,165,1,21,1,5,0,9,0,1,0,12,0,2,0,0,0,0,1,0,1,2,19,91,43.23,25.4,4,7,1.3,0.0,229,139,8.0,12.0,4.57083,3.29125,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Co,Mo,10.99586068,15.50088069,58.933195,95.96,3200.0,4912.0,180.0,230.0,9,6,126,154,8900.0,10280.0,1.75,1.77,1.88,2.16,7.881010000000001,7.09243,0.0,0.0,-7.080389145,-10.84610777,2.7364067480000003,3.154164308,3.447656463,3.973998007,1.5484712,0.0,10.245,15.69,3100,2400,2700,5300,0.42100000000000004,0.251,24.81,24.06,16.2,37.48,11.12,15.59,0,0,1,1,0,0,1,1,0,0,0,0,1768.0,2896.0,58,50,125,139,3,6,9,6,3,5,7,5,0,0,0,0,0,0,0,0,0,1,2,1,27,42,7.5,12.8,4,5,75.0,20.0,194,229,12.0,8.0,2.4802400000000002,2.74324,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0]"
Sc,Ce,25.00931092,34.78450148,44.955912,140.116,3103.0,3633.0,57.0,22.0,3,3,170,204,2985.0,6689.0,1.27,1.19,1.36,1.12,6.561489999999999,5.5387,0.0,0.0,-6.28551309,-4.77656965,3.5428740210000003,4.207394381,4.463741557,5.300984746,6.35e-06,0.0,22.235,37.24,5500,9500,4500,3100,0.568,0.192,25.52,26.94,14.1,5.46,24.96,34.47,0,0,1,0,0,1,1,1,0,0,0,0,1814.0,1071.0,11,15,162,182,9,22,3,4,9,9,1,1,0,13,0,1,0,0,0,0,0,0,2,2,21,58,17.8,29.6,4,6,29.0,14.0,194,194,12.0,12.0,3.21375,3.33785,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
W,Nb,15.85873442,18.00213298,183.84,92.90638,5828.0,5017.0,310.0,170.0,6,5,162,164,19250.0,8570.0,1.81,1.64,2.36,1.6,7.8640300000000005,6.75885,0.0,0.0,-12.95880062,-10.09332153,3.1781057510000004,3.312897187,4.004162334,4.173988903,0.0,0.0,16.05,18.18,7000,8500,4300,8800,0.132,0.265,24.27,24.6,52.31,30.0,15.85,18.15,0,0,1,1,0,0,1,1,0,0,0,0,3695.0,2750.0,51,47,135,143,6,7,20,5,6,6,4,4,0,0,14,0,0,0,0,0,0,1,2,1,74,41,11.1,15.7,6,5,161.0,38.0,229,229,8.0,8.0,2.76038,2.87565,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Pr,Gd,35.23917573,33.04972431,140.90765,157.25,3563.0,3523.0,29.0,38.0,3,3,203,196,6640.0,7901.0,1.2,1.21,1.13,1.2,5.473,6.1498,0.0,0.0,-4.77382996,-4.65442131,4.14761076,4.002082249,5.225662103,5.0423076689999995,0.0,0.0,35.675,32.05,9500,9500,3100,3100,0.193,0.235,27.2,37.03,6.89,9.67,34.5,32.98,0,0,0,0,1,1,1,1,0,0,0,0,1204.0,1586.0,17,27,183,176,11,16,5,10,0,9,0,1,11,7,3,7,0,0,0,0,0,0,2,2,59,64,28.2,23.5,6,6,15.0,22.0,194,194,12.0,12.0,3.70191,3.58601,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Cu,B,11.82994193,7.297767265,63.54600000000001,10.811,3200.0,4273.0,140.0,320.0,11,13,132,84,8920.0,2460.0,1.47,1.75,1.9,2.04,7.726380000000001,8.29802,0.0,1.524,-3.68065482,-6.677698154,2.807970487,2.429779429,3.5378211239999997,3.0613302489999996,0.0,0.0,11.07,7.1725,1600,2900,1500,2000,0.385,1.026,24.44,11.087,13.6,50.2,11.81,7.75,0,0,1,0,0,0,1,0,0,1,0,0,1357.77,2348.0,64,72,126,88,1,5,11,3,0,0,10,0,0,0,0,0,0,5,0,1,1,0,1,2,29,5,6.15,3.03,4,2,48.0,0.0,225,166,12.0,5.5,2.5571900000000003,1.7253599999999998,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Hg,Gd,24.61174207,33.04972431,200.59,157.25,629.73,3523.0,25.0,38.0,12,3,132,196,13534.0,7901.0,1.24,1.21,2.0,1.2,10.4375,6.1498,0.0,0.0,-0.250105562,-4.65442131,3.695665057,4.002082249,4.656246199,5.0423076689999995,0.0,0.0,25.23758621,32.05,5500,9500,3100,3100,0.14,0.235,27.983,37.03,2.295,9.67,23.82,32.98,0,0,1,0,0,1,1,1,0,0,0,0,234.32,1586.0,71,27,152,176,0,16,26,10,0,9,10,1,0,7,14,7,0,0,0,0,0,0,2,2,80,64,5.36,23.5,6,6,0.0,22.0,166,194,12.0,12.0,3.3977,3.58601,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0]"
Sc,Fe,25.00931092,11.77736497,44.955912,55.845,3103.0,3134.0,57.0,170.0,3,8,170,132,2985.0,7874.0,1.27,1.77,1.36,1.83,6.561489999999999,7.9024,0.0,0.0,-6.28551309,-8.28548436,3.5428740210000003,2.7789233789999996,4.463741557,3.501224062,6.35e-06,2.1106627999999996,22.235,10.73,5500,2400,4500,1400,0.568,0.449,25.52,25.1,14.1,13.81,24.96,11.78,0,0,1,1,0,0,1,1,0,0,0,0,1814.0,1811.0,11,55,162,125,9,4,3,8,9,4,1,6,0,0,0,0,0,0,0,0,0,0,2,2,21,26,17.8,8.4,4,4,29.0,82.0,194,229,12.0,8.0,3.21375,2.46654,"[1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Mn,Ho,12.21270447,31.14037991,54.938044999999995,164.93032,2334.0,2973.0,120.0,40.0,7,3,139,192,7470.0,8795.0,1.61,1.22,1.55,1.23,7.434019999999999,6.0215,0.0,0.0,-9.02056525,-4.577416877,2.757836487,3.9465101189999996,3.474656242,4.972291172,0.00031,0.0,10.48758621,30.73333333,1600,9500,1800,3100,0.479,0.165,26.32,27.15,12.91,11.76,12.2,31.11,0,0,1,0,0,1,1,1,0,0,0,0,1519.0,1747.0,52,33,132,177,5,3,7,13,5,0,5,0,0,3,0,11,0,0,0,0,0,0,2,2,25,67,9.4,23.6,4,6,78.0,26.0,217,194,5.24138,12.0,2.27619,3.4811199999999998,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0]"
Ag,Ba,17.07564795,64.96928167,107.8682,137.327,2435.0,2143.0,100.0,9.6,11,2,145,215,10490.0,3510.0,1.36,0.81,1.93,0.89,7.576230000000001,5.211664,0.0,0.0,-2.76539356,-1.92352226,3.1964805060000003,5.028899311,4.027313073999999,6.336016099999999,0.0,0.0,16.33,63.59,1200,3000,1400,2300,0.235,0.204,25.35,28.07,11.3,7.12,17.05,62.88,0,1,1,0,0,0,1,1,0,0,0,0,1234.93,1000.0,65,9,144,223,1,0,11,2,0,0,10,0,0,0,0,0,0,0,0,0,1,0,1,2,47,56,6.99,39.7,5,6,30.0,4.9,225,229,12.0,8.0,2.94195,4.35637,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0]"
Ir,Os,14.14855047,13.98369767,192.217,190.23,4701.0,5285.0,320.0,0.0,9,8,141,144,22560.0,22590.0,1.83,1.85,2.2,2.2,8.96702,8.43823,0.0,0.0,-8.84851145,-11.22070399,3.051696628,3.0430820539999996,3.84489682,3.834043137,0.0,0.0,14.21,14.09,5500,5500,9100,9100,0.131,0.13,25.1,24.7,41.12,57.85,13.88,13.8,0,0,1,1,0,0,1,1,0,0,0,0,2739.0,3306.0,60,57,136,135,3,4,23,22,3,4,7,6,0,0,14,14,0,0,0,0,0,0,2,2,77,76,7.6,8.5,6,6,210.0,222.0,225,194,12.0,12.0,2.74055,2.69382,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Si,P,20.01637772,28.21412182,28.0855,30.973762,3173.0,553.5,100.0,11.0,14,15,111,107,2330.0,1823.0,1.5,1.65,1.9,2.19,8.15168,10.48669,0.773,1.625,-5.424918005,-5.400509043,3.4448498389999997,3.560590636,4.340238825,4.486063093,0.0,0.0,20.44,22.5702381,4700,2000,1000,5100,0.7120000000000001,0.769,19.99,23.824,50.21,18.54,20.02,18.99,0,0,0,0,0,0,0,0,1,0,0,1,1687.0,317.3,78,83,110,102,4,3,4,5,0,0,0,0,0,0,0,0,4,3,2,3,0,0,2,2,14,15,5.53,3.63,3,3,0.0,0.0,227,2,4.0,3.0,2.36803,2.2137700000000002,"[1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0]"
Pm,Na,33.14754856,39.43832888,145.0,22.98976928,3273.0,1156.0,33.0,6.3,3,1,199,166,7264.0,968.0,1.21,0.82,1.155,0.93,5.582000000000001,5.139076,0.0,0.0,-4.744621343,-1.2602413829999999,4.075342789,3.88167309,5.134610166,4.890601633999999,0.0,0.0,33.8425,29.24333333,9500,1100,3100,500,0.0,1.228,0.0,28.23,0.0,2.6,33.67,39.76,0,1,0,0,1,0,1,1,0,0,0,0,1373.0,370.87,21,2,185,180,9,1,7,1,0,0,0,0,9,0,5,0,0,0,0,0,0,1,2,1,61,11,30.1,24.11,6,3,18.0,3.3,194,229,12.0,12.0,3.6390800000000003,3.7292199999999998,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
La,Au,37.53064612,16.94706362,138.90547,196.966569,3737.0,3129.0,28.0,220.0,3,11,207,136,6146.0,19300.0,1.18,1.57,1.1,2.54,5.5769,9.225530000000001,0.0,0.0,-4.927546185,-3.20969261,4.194456026,3.2204420519999997,5.28468344,4.0575027310000005,0.0,0.0,36.8975,16.7,9500,1100,3100,1000,0.195,0.129,27.11,25.418000000000003,6.2,12.55,37.42,16.96,0,0,0,1,1,0,1,1,0,0,0,0,1193.0,1337.33,13,66,187,143,9,1,3,25,9,0,1,10,0,0,0,14,0,0,0,0,0,1,2,1,57,79,31.1,5.8,6,6,14.0,27.0,194,225,12.0,12.0,3.7199800000000005,2.94955,"[1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
La,Al,37.53064612,16.59442452,138.90547,26.9815386,3737.0,2792.0,28.0,76.0,3,13,207,121,6146.0,2700.0,1.18,1.39,1.1,1.61,5.5769,5.985768,0.0,0.0,-4.927546185,-3.74542312,4.194456026,3.2062378330000003,5.28468344,4.039606536,0.0,0.0,36.8975,16.48,9500,1600,3100,1000,0.195,0.897,27.11,24.2,6.2,10.71,37.42,16.61,0,0,0,0,1,0,1,1,0,0,0,0,1193.0,933.47,13,73,187,141,9,5,3,3,9,0,1,0,0,0,0,0,0,5,0,1,0,0,2,2,57,13,31.1,6.8,6,3,14.0,26.0,194,225,12.0,12.0,3.7199800000000005,2.85595,"[1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0]"
Sn,Ne,26.96678526,37.23218569,118.71,20.1791,2875.0,26.92,58.0,0.0,14,18,139,58,7310.0,0.9,1.24,0.0,1.96,0.0,7.34392,21.56454,0.0,13.088,-3.96104709,0.09403567,4.052840562,2.934893568,5.106259136,3.6977341860000004,0.0,0.0,33.285,12.64,2600,0,1600,0,0.22699999999999998,1.03,26.99,20.785999999999998,7.15,0.16399999999999998,27.05,23.09,0,0,0,0,0,0,1,0,0,0,0,1,505.08,24.56,80,99,155,0,4,0,14,8,0,0,10,0,0,0,0,0,4,0,2,6,0,0,2,2,50,10,7.06,0.39432,5,2,18.0,0.0,141,225,4.0,12.0,2.87792,3.04326,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Be,Os,8.098176455,13.98369767,9.012182000000001,190.23,2743.0,5285.0,130.0,0.0,2,8,96,144,1848.0,22590.0,1.67,1.85,1.57,2.2,9.3227,8.43823,0.0,0.0,-3.755038695,-11.22070399,2.508239481,3.0430820539999996,3.160183721,3.834043137,0.0,0.0,7.89,14.09,8000,5500,4000,9100,1.825,0.13,16.442999999999998,24.7,7.895,57.85,8.11,13.8,1,0,0,1,0,0,1,1,0,0,0,0,1560.0,3306.0,67,57,112,135,0,4,2,22,0,4,0,6,0,0,0,14,0,0,0,0,0,0,2,2,4,76,5.6,8.5,2,6,132.0,222.0,194,194,12.0,12.0,2.20087,2.69382,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
He,B,37.23603556,7.297767265,4.0026019999999995,10.811,4.07,4273.0,0.0,320.0,18,13,28,84,0.1785,2460.0,0.0,1.75,0.0,2.04,24.587387,8.29802,18.098,1.524,0.0011354000000000002,-6.677698154,2.908733088,2.429779429,3.6647740460000002,3.0613302489999996,0.0,0.0,12.305,7.1725,3200,2900,3900,2000,5.13,1.026,20.785999999999998,11.087,0.0,50.2,19.08,7.75,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2348.0,98,72,0,88,0,5,2,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,2,2,5,0.2050522,3.03,1,2,0.0,0.0,225,166,8.0,5.5,2.73717,1.7253599999999998,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Nb,Na,18.00213298,39.43832888,92.90638,22.98976928,5017.0,1156.0,170.0,6.3,5,1,164,166,8570.0,968.0,1.64,0.82,1.6,0.93,6.75885,5.139076,0.0,0.0,-10.09332153,-1.2602413829999999,3.312897187,3.88167309,4.173988903,4.890601633999999,0.0,0.0,18.18,29.24333333,8500,1100,8800,500,0.265,1.228,24.6,28.23,30.0,2.6,18.15,39.76,0,1,1,0,0,0,1,1,0,0,0,0,2750.0,370.87,47,2,143,180,7,1,5,1,6,0,4,0,0,0,0,0,0,0,0,0,1,1,1,1,41,11,15.7,24.11,5,3,38.0,3.3,229,229,8.0,12.0,2.87565,3.7292199999999998,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Ce,Cs,34.78450148,117.4560158,140.116,132.9054519,3633.0,944.0,22.0,1.6,3,1,204,244,6689.0,1879.0,1.19,0.55,1.12,0.79,5.5387,3.893905,0.0,0.0,-4.77656965,-0.85462646,4.207394381,6.140481453,5.300984746,7.736521839,0.0,0.0,37.24,115.765,9500,6000,3100,6000,0.192,0.242,26.94,32.21,5.46,2.09,34.47,67.55,0,1,0,0,1,0,1,1,0,0,0,0,1071.0,301.59,15,5,182,264,22,1,4,1,9,0,1,0,13,0,1,0,0,0,0,0,0,1,2,1,58,55,29.6,59.42,6,6,14.0,0.0,194,229,12.0,8.0,3.33785,5.32395,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Pb,Ho,30.34142301,31.14037991,207.2,164.93032,2022.0,2973.0,46.0,40.0,14,3,146,192,11340.0,8795.0,1.15,1.22,2.33,1.23,7.4166300000000005,6.0215,0.0,0.0,-3.62902961,-4.577416877,3.830865877,3.9465101189999996,4.826588558,4.972291172,0.0,0.0,28.11,30.73333333,2700,9500,1800,3100,0.13,0.165,24.7,27.15,4.774,11.76,30.32,31.11,0,0,0,0,0,1,1,1,0,0,0,0,600.61,1747.0,81,33,174,177,4,3,28,13,0,0,10,0,0,3,14,11,4,0,2,0,0,0,2,2,82,67,6.995,23.6,6,6,5.6,26.0,225,194,12.0,12.0,3.5745400000000003,3.4811199999999998,"[1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0]"
