formulaA,formulaB,formulaA_elements_AtomicVolume,formulaB_elements_AtomicVolume,formulaA_elements_AtomicWeight,formulaB_elements_AtomicWeight,formulaA_elements_BoilingT,formulaB_elements_BoilingT,formulaA_elements_BulkModulus,formulaB_elements_BulkModulus,formulaA_elements_Column,formulaB_elements_Column,formulaA_elements_CovalentRadius,formulaB_elements_CovalentRadius,formulaA_elements_Density,formulaB_elements_Density,formulaA_elements_ElectronSurfaceDensityWS,formulaB_elements_ElectronSurfaceDensityWS,formulaA_elements_Electronegativity,formulaB_elements_Electronegativity,formulaA_elements_FirstIonizationEnergy,formulaB_elements_FirstIonizationEnergy,formulaA_elements_GSbandgap,formulaB_elements_GSbandgap,formulaA_elements_GSenergy_pa,formulaB_elements_GSenergy_pa,formulaA_elements_GSestBCClatcnt,formulaB_elements_GSestBCClatcnt,formulaA_elements_GSestFCClatcnt,formulaB_elements_GSestFCClatcnt,formulaA_elements_GSmagmom,formulaB_elements_GSmagmom,formulaA_elements_GSvolume_pa,formulaB_elements_GSvolume_pa,formulaA_elements_HHIp,formulaB_elements_HHIp,formulaA_elements_HHIr,formulaB_elements_HHIr,formulaA_elements_HeatCapacityMass,formulaB_elements_HeatCapacityMass,formulaA_elements_HeatCapacityMolar,formulaB_elements_HeatCapacityMolar,formulaA_elements_HeatFusion,formulaB_elements_HeatFusion,formulaA_elements_ICSDVolume,formulaB_elements_ICSDVolume,formulaA_elements_IsAlkali,formulaB_elements_IsAlkali,formulaA_elements_IsDBlock,formulaB_elements_IsDBlock,formulaA_elements_IsFBlock,formulaB_elements_IsFBlock,formulaA_elements_IsMetal,formulaB_elements_IsMetal,formulaA_elements_IsMetalloid,formulaB_elements_IsMetalloid,formulaA_elements_IsNonmetal,formulaB_elements_IsNonmetal,formulaA_elements_MeltingT,formulaB_elements_MeltingT,formulaA_elements_MendeleevNumber,formulaB_elements_MendeleevNumber,formulaA_elements_MiracleRadius,formulaB_elements_MiracleRadius,formulaA_elements_NUnfilled,formulaB_elements_NUnfilled,formulaA_elements_NValance,formulaB_elements_NValance,formulaA_elements_NdUnfilled,formulaB_elements_NdUnfilled,formulaA_elements_NdValence,formulaB_elements_NdValence,formulaA_elements_NfUnfilled,formulaB_elements_NfUnfilled,formulaA_elements_NfValence,formulaB_elements_NfValence,formulaA_elements_NpUnfilled,formulaB_elements_NpUnfilled,formulaA_elements_NpValence,formulaB_elements_NpValence,formulaA_elements_NsUnfilled,formulaB_elements_NsUnfilled,formulaA_elements_NsValence,formulaB_elements_NsValence,formulaA_elements_Number,formulaB_elements_Number,formulaA_elements_Polarizability,formulaB_elements_Polarizability,formulaA_elements_Row,formulaB_elements_Row,formulaA_elements_ShearModulus,formulaB_elements_ShearModulus,formulaA_elements_SpaceGroupNumber,formulaB_elements_SpaceGroupNumber,avg_coordination_A,avg_coordination_B,avg_nearest_neighbor_distance_A,avg_nearest_neighbor_distance_B,stabilityVec
Cu,Eu,11.82994193,48.12129236,63.54600000000001,151.964,3200.0,1800.0,140.0,8.3,11,3,132,198,8920.0,5244.0,1.47,0.88,1.9,1.185,7.726380000000001,5.670380000000001,0.0,0.0,-3.68065482,-1.82958684,2.807970487,4.177811939,3.5378211239999997,5.263713205,0.0,0.0,11.07,36.46,1600,9500,1500,3100,0.385,0.182,24.44,27.66,13.6,9.21,11.81,48.53,0,0,1,0,0,1,1,1,0,0,0,0,1357.77,1095.0,64,25,126,196,1,7,11,9,0,0,10,0,0,7,0,7,0,0,0,0,1,0,1,2,29,63,6.15,27.7,4,6,48.0,7.9,225,229,12.0,12.0,2.5571900000000003,4.00957,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0]"
Sm,Eu,33.95681901,48.12129236,150.36,151.964,2076.0,1800.0,38.0,8.3,3,3,198,198,7353.0,5244.0,1.21,0.88,1.17,1.185,5.6437,5.670380000000001,0.0,0.0,-4.713379635,-1.82958684,4.050607032,4.177811939,5.103445064,5.263713205,0.0,0.0,33.23,36.46,9500,9500,3100,3100,0.196,0.182,29.54,27.66,8.62,9.21,33.14,48.53,0,0,0,0,1,1,1,1,0,0,0,0,1345.0,1095.0,23,25,185,196,8,7,8,9,0,0,0,0,8,7,6,7,0,0,0,0,0,0,2,2,62,63,28.8,27.7,6,6,20.0,7.9,166,229,12.0,12.0,3.61456,4.00957,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Th,Ac,32.86568321,37.43308629999999,232.03806,227.0,5093.0,3473.0,54.0,0.0,3,3,206,215,11724.0,10070.0,1.28,0.0,1.3,1.1,6.3067,5.17,0.0,0.0,-7.41254306,-4.1050022980000005,4.015357627,4.465163104,5.059033597,5.625752986,0.0,0.0,32.37,44.5125,0,0,0,0,0.11800000000000001,0.12,27.32,27.2,13.81,12.0,32.86,37.45,0,0,0,0,1,1,1,1,0,0,0,0,2023.0,1323.0,16,14,178,0,8,9,4,3,8,9,2,1,0,0,0,0,0,0,0,0,0,0,2,2,90,89,32.1,32.1,7,7,31.0,0.0,225,225,12.0,12.0,3.5605900000000004,3.99462,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
K,Sn,75.84786468,26.96678526,39.0983,118.71,1032.0,2875.0,3.1,58.0,1,14,203,139,856.0,7310.0,0.65,1.24,0.82,1.96,4.3406633,7.34392,0.0,0.0,-1.097539713,-3.96104709,5.268200874,4.052840562,6.637517176,5.106259136,0.0,0.0,73.10666667,33.285,1700,2600,7200,1600,0.757,0.22699999999999998,29.6,26.99,2.335,7.15,75.63,27.05,1,0,0,0,0,0,1,1,0,0,0,0,336.53,505.08,3,80,230,155,1,4,1,14,0,0,0,10,0,0,0,0,0,4,0,2,1,0,1,2,19,50,43.23,7.06,4,5,1.3,18.0,229,141,8.0,4.0,4.57083,2.87792,"[1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0]"
Nb,Ho,18.00213298,31.14037991,92.90638,164.93032,5017.0,2973.0,170.0,40.0,5,3,164,192,8570.0,8795.0,1.64,1.22,1.6,1.23,6.75885,6.0215,0.0,0.0,-10.09332153,-4.577416877,3.312897187,3.9465101189999996,4.173988903,4.972291172,0.0,0.0,18.18,30.73333333,8500,9500,8800,3100,0.265,0.165,24.6,27.15,30.0,11.76,18.15,31.11,0,0,1,0,0,1,1,1,0,0,0,0,2750.0,1747.0,47,33,143,177,7,3,5,13,6,0,4,0,0,3,0,11,0,0,0,0,1,0,1,2,41,67,15.7,23.6,5,6,38.0,26.0,229,194,8.0,12.0,2.87565,3.4811199999999998,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Zn,Be,15.20568373,8.098176455,65.38,9.012182000000001,1180.0,2743.0,70.0,130.0,12,2,122,96,7140.0,1848.0,1.32,1.67,1.65,1.57,9.394199,9.3227,0.0,0.0,-1.239999915,-3.755038695,3.0336942239999996,2.508239481,3.822215211,3.160183721,0.0,0.0,13.96,7.89,1600,8000,1900,4000,0.38799999999999996,1.825,25.39,16.442999999999998,7.068,7.895,15.19,8.11,0,1,1,0,0,0,1,1,0,0,0,0,692.68,1560.0,69,67,140,112,0,0,12,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,2,30,4,-5.816666667000001,5.6,4,2,43.0,132.0,194,194,6.0,12.0,2.62673,2.20087,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Ti,Ir,17.63631716,14.14855047,47.867,192.217,3560.0,4701.0,110.0,320.0,4,9,160,141,4507.0,22560.0,1.52,1.83,1.54,2.2,6.828119999999999,8.96702,0.0,0.0,-7.77522712,-8.84851145,3.2197991210000003,3.051696628,4.056692689,3.84489682,2.25e-05,0.0,16.69,14.21,1100,5500,1600,9100,0.524,0.131,25.06,25.1,14.15,41.12,17.67,13.88,0,0,1,1,0,0,1,1,0,0,0,0,1941.0,2739.0,43,60,142,136,8,3,4,23,8,3,2,7,0,0,0,14,0,0,0,0,0,0,2,2,22,77,14.6,7.6,4,6,44.0,210.0,194,225,8.0,12.0,2.70452,2.74055,"[1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0]"
Ni,Pt,10.94128444,15.36046351,58.6934,195.084,3186.0,4098.0,180.0,230.0,10,10,124,136,8908.0,21090.0,1.75,1.78,1.91,2.28,7.6398,8.9588,0.0,0.0,-5.54632457,-6.02850968,2.74306794,3.108612885,3.456049039,3.91660681,0.5953946999999999,0.0,10.32,15.02,1000,5500,1500,9100,0.444,0.133,26.07,25.86,17.48,22.175,10.86,15.1,0,0,1,1,0,0,1,1,0,0,0,0,1728.0,2041.4,61,63,126,139,2,2,10,24,2,1,8,9,0,0,0,14,0,0,0,0,0,1,2,1,28,78,6.8,6.5,4,6,76.0,61.0,225,225,12.0,12.0,2.4805599999999997,2.812,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0]"
As,Pt,21.72396574,15.36046351,74.9216,195.084,887.0,4098.0,22.0,230.0,15,10,119,136,5727.0,21090.0,1.44,1.78,2.18,2.28,9.7886,8.9588,0.0,0.0,-4.650889115,-6.02850968,3.539684396,3.108612885,4.459722881,3.91660681,0.0,0.0,22.175,15.02,3300,5500,4000,9100,0.32899999999999996,0.133,24.64,25.86,24.44,22.175,21.52,15.1,0,0,0,1,0,0,1,1,1,0,0,0,1090.0,2041.4,84,63,115,139,3,2,15,24,0,1,10,9,0,0,0,14,3,0,3,0,0,1,2,1,33,78,4.31,6.5,4,6,0.0,61.0,166,225,3.0,12.0,2.5579,2.812,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0]"
Cd,Si,21.58002546,20.01637772,112.411,28.0855,1040.0,3173.0,42.0,100.0,12,14,144,111,8650.0,2330.0,1.24,1.5,1.69,1.9,8.99382,8.15168,0.0,0.773,-0.812174225,-5.424918005,3.3909215710000002,3.4448498389999997,4.272293466,4.340238825,0.0,0.0,19.495,20.44,1700,4700,1300,1000,0.231,0.7120000000000001,26.02,19.99,6.21,50.21,21.59,20.02,0,0,1,0,0,0,1,0,0,1,0,0,594.22,1687.0,70,78,157,110,0,4,12,4,0,0,10,0,0,0,0,0,0,4,0,2,0,0,2,2,48,14,7.32,5.53,5,3,19.0,0.0,194,227,6.0,4.0,3.00785,2.36803,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
K,Th,75.84786468,32.86568321,39.0983,232.03806,1032.0,5093.0,3.1,54.0,1,3,203,206,856.0,11724.0,0.65,1.28,0.82,1.3,4.3406633,6.3067,0.0,0.0,-1.097539713,-7.41254306,5.268200874,4.015357627,6.637517176,5.059033597,0.0,0.0,73.10666667,32.37,1700,0,7200,0,0.757,0.11800000000000001,29.6,27.32,2.335,13.81,75.63,32.86,1,0,0,0,0,1,1,1,0,0,0,0,336.53,2023.0,3,16,230,178,1,8,1,4,0,8,0,2,0,0,0,0,0,0,0,0,1,0,1,2,19,90,43.23,32.1,4,7,1.3,31.0,229,225,8.0,12.0,4.57083,3.5605900000000004,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Hg,Ir,24.61174207,14.14855047,200.59,192.217,629.73,4701.0,25.0,320.0,12,9,132,141,13534.0,22560.0,1.24,1.83,2.0,2.2,10.4375,8.96702,0.0,0.0,-0.250105562,-8.84851145,3.695665057,3.051696628,4.656246199,3.84489682,0.0,0.0,25.23758621,14.21,5500,5500,3100,9100,0.14,0.131,27.983,25.1,2.295,41.12,23.82,13.88,0,0,1,1,0,0,1,1,0,0,0,0,234.32,2739.0,71,60,152,136,0,3,26,23,0,3,10,7,0,0,14,14,0,0,0,0,0,0,2,2,80,77,5.36,7.6,6,6,0.0,210.0,166,225,12.0,12.0,3.3977,2.74055,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Mg,Pb,23.2222931,30.34142301,24.305,207.2,1363.0,2022.0,45.0,46.0,2,14,141,146,1738.0,11340.0,1.17,1.15,1.31,2.33,7.646235000000001,7.4166300000000005,0.0,0.0,-1.54227231,-3.62902961,3.577326635,3.830865877,4.50714913,4.826588558,0.0,0.0,22.89,28.11,5300,2700,500,1800,1.023,0.13,24.869,24.7,8.48,4.774,23.48,30.32,1,0,0,0,0,0,1,1,0,0,0,0,923.0,600.61,68,81,160,174,0,4,2,28,0,0,0,10,0,0,0,14,0,4,0,2,0,0,2,2,12,82,10.76666667,6.995,3,6,17.0,5.6,194,225,12.0,12.0,3.18377,3.5745400000000003,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0]"
Be,Co,8.098176455,10.99586068,9.012182000000001,58.933195,2743.0,3200.0,130.0,180.0,2,9,96,126,1848.0,8900.0,1.67,1.75,1.57,1.88,9.3227,7.881010000000001,0.0,0.0,-3.755038695,-7.080389145,2.508239481,2.7364067480000003,3.160183721,3.447656463,0.0,1.5484712,7.89,10.245,8000,3100,4000,2700,1.825,0.42100000000000004,16.442999999999998,24.81,7.895,16.2,8.11,11.12,1,0,0,1,0,0,1,1,0,0,0,0,1560.0,1768.0,67,58,112,125,0,3,2,9,0,3,0,7,0,0,0,0,0,0,0,0,0,0,2,2,4,27,5.6,7.5,2,4,132.0,75.0,194,194,12.0,12.0,2.20087,2.4802400000000002,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0]"
Pt,Br,15.36046351,42.52782532,195.084,79.904,4098.0,332.0,230.0,1.9,10,17,136,120,21090.0,3120.0,1.78,0.0,2.28,2.96,8.9588,11.8138,0.0,1.4569999999999999,-6.02850968,-1.5830253380000001,3.108612885,3.8921164439999996,3.91660681,4.9037594360000005,0.0,0.0,15.02,29.48,5500,3300,9100,6900,0.133,0.474,25.86,75.69,22.175,5.285,15.1,65.14,0,0,1,0,0,0,1,0,0,0,0,1,2041.4,265.8,63,95,139,0,2,1,24,17,1,0,9,10,0,0,14,0,0,1,0,5,1,0,1,2,78,35,6.5,3.05,6,4,61.0,0.0,225,64,12.0,1.0,2.812,2.38875,"[1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Np,Fe,19.24483901,11.77736497,237.0,55.845,4273.0,3134.0,0.0,170.0,3,8,190,132,20450.0,7874.0,0.0,1.77,1.36,1.83,6.2657,7.9024,0.0,0.0,-12.94031436,-8.28548436,3.329442683,2.7789233789999996,4.194834921,3.501224062,0.0,2.1106627999999996,18.45375,10.73,0,2400,0,1400,0.0,0.449,0.0,25.1,3.2,13.81,19.22,11.78,0,0,0,1,1,0,1,1,0,0,0,0,917.0,1811.0,22,55,175,125,19,4,7,8,9,4,1,6,10,0,4,0,0,0,0,0,0,0,2,2,93,26,24.8,8.4,7,4,0.0,82.0,62,229,4.0,8.0,2.4862599999999997,2.46654,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
V,Re,13.84489822,14.71033423,50.9415,186.207,3680.0,5869.0,160.0,370.0,5,7,153,151,6110.0,21020.0,1.64,1.85,1.63,1.9,6.7461899999999995,7.83352,0.0,0.0,-8.93926069,-12.41702777,2.963255488,3.083225384,3.733467966,3.884620563,0.0,0.0,13.01,14.655,3300,3300,3400,3300,0.489,0.13699999999999998,24.89,25.48,21.5,34.08,13.88,14.71,0,0,1,1,0,0,1,1,0,0,0,0,2183.0,3459.0,46,54,134,137,7,5,5,21,7,5,3,5,0,0,0,14,0,0,0,0,0,0,2,2,23,75,12.4,9.7,4,6,47.0,178.0,229,194,8.0,12.0,2.59229,2.7629900000000003,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0]"
Se,Au,27.20880463,16.94706362,78.96,196.966569,958.0,3129.0,8.3,220.0,16,11,120,136,4819.0,19300.0,0.0,1.57,2.55,2.54,9.75239,9.225530000000001,0.799,0.0,-3.47079191,-3.20969261,3.7286790069999998,3.2204420519999997,4.697841169,4.0575027310000005,0.0,0.0,25.92,16.7,2200,1100,6000,1000,0.321,0.129,25.363000000000003,25.418000000000003,6.69,12.55,29.81,16.96,0,0,0,1,0,0,0,1,0,0,1,0,494.0,1337.33,89,66,118,143,2,1,16,25,0,0,10,10,0,0,0,14,2,0,4,0,0,1,2,1,34,79,3.77,5.8,4,6,3.7,27.0,14,225,2.0,12.0,2.364,2.94955,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0]"
Gd,Sn,33.04972431,26.96678526,157.25,118.71,3523.0,2875.0,38.0,58.0,3,14,196,139,7901.0,7310.0,1.21,1.24,1.2,1.96,6.1498,7.34392,0.0,0.0,-4.65442131,-3.96104709,4.002082249,4.052840562,5.0423076689999995,5.106259136,0.0,0.0,32.05,33.285,9500,2600,3100,1600,0.235,0.22699999999999998,37.03,26.99,9.67,7.15,32.98,27.05,0,0,0,0,1,0,1,1,0,0,0,0,1586.0,505.08,27,80,176,155,16,4,10,14,9,0,1,10,7,0,7,0,0,4,0,2,0,0,2,2,64,50,23.5,7.06,6,5,22.0,18.0,194,141,12.0,4.0,3.58601,2.87792,"[1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Ge,B,22.66097638,7.297767265,72.64,10.811,3093.0,4273.0,0.0,320.0,14,13,120,84,5323.0,2460.0,1.37,1.75,2.01,2.04,7.899430000000001,8.29802,0.38299999999999995,1.524,-4.616039545,-6.677698154,3.583307493,2.429779429,4.514684539,3.0613302489999996,0.0,0.0,23.005,7.1725,5300,2900,1900,2000,0.32,1.026,23.221999999999998,11.087,36.94,50.2,22.23,7.75,0,0,0,0,0,0,0,0,1,1,0,0,1211.4,2348.0,79,72,114,88,4,5,14,3,0,0,10,0,0,0,0,0,4,5,2,1,0,0,2,2,32,5,5.84,3.03,4,2,0.0,0.0,225,166,4.0,5.5,2.49539,1.7253599999999998,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
As,P,21.72396574,28.21412182,74.9216,30.973762,887.0,553.5,22.0,11.0,15,15,119,107,5727.0,1823.0,1.44,1.65,2.18,2.19,9.7886,10.48669,0.0,1.625,-4.650889115,-5.400509043,3.539684396,3.560590636,4.459722881,4.486063093,0.0,0.0,22.175,22.5702381,3300,2000,4000,5100,0.32899999999999996,0.769,24.64,23.824,24.44,18.54,21.52,18.99,0,0,0,0,0,0,1,0,1,0,0,1,1090.0,317.3,84,83,115,102,3,3,15,5,0,0,10,0,0,0,0,0,3,3,3,3,0,0,2,2,33,15,4.31,3.63,4,3,0.0,0.0,166,2,3.0,3.0,2.5579,2.2137700000000002,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
He,Sm,37.23603556,33.95681901,4.0026019999999995,150.36,4.07,2076.0,0.0,38.0,18,3,28,198,0.1785,7353.0,0.0,1.21,0.0,1.17,24.587387,5.6437,18.098,0.0,0.0011354000000000002,-4.713379635,2.908733088,4.050607032,3.6647740460000002,5.103445064,0.0,0.0,12.305,33.23,3200,9500,3900,3100,5.13,0.196,20.785999999999998,29.54,0.0,8.62,19.08,33.14,0,0,0,0,0,1,0,1,0,0,1,0,0.0,1345.0,98,23,0,185,0,8,2,8,0,0,0,0,0,8,0,6,0,0,0,0,0,0,2,2,2,62,0.2050522,28.8,1,6,0.0,20.0,225,166,8.0,12.0,2.73717,3.61456,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
B,Eu,7.297767265,48.12129236,10.811,151.964,4273.0,1800.0,320.0,8.3,13,3,84,198,2460.0,5244.0,1.75,0.88,2.04,1.185,8.29802,5.670380000000001,1.524,0.0,-6.677698154,-1.82958684,2.429779429,4.177811939,3.0613302489999996,5.263713205,0.0,0.0,7.1725,36.46,2900,9500,2000,3100,1.026,0.182,11.087,27.66,50.2,9.21,7.75,48.53,0,0,0,0,0,1,0,1,1,0,0,0,2348.0,1095.0,72,25,88,196,5,7,3,9,0,0,0,0,0,7,0,7,5,0,1,0,0,0,2,2,5,63,3.03,27.7,2,6,0.0,7.9,166,229,5.5,12.0,1.7253599999999998,4.00957,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0]"
Te,Se,33.95668872,27.20880463,127.6,78.96,1261.0,958.0,65.0,8.3,16,16,138,120,6240.0,4819.0,0.0,0.0,2.1,2.55,9.0096,9.75239,0.46399999999999997,0.799,-3.141302507,-3.47079191,4.111975037,3.7286790069999998,5.180763906,4.697841169,0.0,0.0,34.76333333,25.92,2900,2200,4900,6000,0.20199999999999999,0.321,25.73,25.363000000000003,17.38,6.69,33.94,29.81,0,0,0,0,0,0,0,0,1,0,0,1,722.66,494.0,90,89,140,118,2,2,16,16,0,0,10,10,0,0,0,0,2,2,4,4,0,0,2,2,52,34,5.5,3.77,5,4,16.0,3.7,152,14,2.0,2.0,2.89227,2.364,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Hg,Fe,24.61174207,11.77736497,200.59,55.845,629.73,3134.0,25.0,170.0,12,8,132,132,13534.0,7874.0,1.24,1.77,2.0,1.83,10.4375,7.9024,0.0,0.0,-0.250105562,-8.28548436,3.695665057,2.7789233789999996,4.656246199,3.501224062,0.0,2.1106627999999996,25.23758621,10.73,5500,2400,3100,1400,0.14,0.449,27.983,25.1,2.295,13.81,23.82,11.78,0,0,1,1,0,0,1,1,0,0,0,0,234.32,1811.0,71,55,152,125,0,4,26,8,0,4,10,6,0,0,14,0,0,0,0,0,0,0,2,2,80,26,5.36,8.4,6,4,0.0,82.0,166,229,12.0,8.0,3.3977,2.46654,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
La,V,37.53064612,13.84489822,138.90547,50.9415,3737.0,3680.0,28.0,160.0,3,5,207,153,6146.0,6110.0,1.18,1.64,1.1,1.63,5.5769,6.7461899999999995,0.0,0.0,-4.927546185,-8.93926069,4.194456026,2.963255488,5.28468344,3.733467966,0.0,0.0,36.8975,13.01,9500,3300,3100,3400,0.195,0.489,27.11,24.89,6.2,21.5,37.42,13.88,0,0,0,1,1,0,1,1,0,0,0,0,1193.0,2183.0,13,46,187,134,9,7,3,5,9,7,1,3,0,0,0,0,0,0,0,0,0,0,2,2,57,23,31.1,12.4,6,4,14.0,47.0,194,229,12.0,8.0,3.7199800000000005,2.59229,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Gd,Mo,33.04972431,15.50088069,157.25,95.96,3523.0,4912.0,38.0,230.0,3,6,196,154,7901.0,10280.0,1.21,1.77,1.2,2.16,6.1498,7.09243,0.0,0.0,-4.65442131,-10.84610777,4.002082249,3.154164308,5.0423076689999995,3.973998007,0.0,0.0,32.05,15.69,9500,2400,3100,5300,0.235,0.251,37.03,24.06,9.67,37.48,32.98,15.59,0,0,0,1,1,0,1,1,0,0,0,0,1586.0,2896.0,27,50,176,139,16,6,10,6,9,5,1,5,7,0,7,0,0,0,0,0,0,1,2,1,64,42,23.5,12.8,6,5,22.0,20.0,194,229,12.0,8.0,3.58601,2.74324,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Br,Zr,42.52782532,23.26594327,79.904,91.22399999999999,332.0,4682.0,1.9,0.0,17,4,120,175,3120.0,6511.0,0.0,1.41,2.96,1.33,11.8138,6.6339,1.4569999999999999,0.0,-1.5830253380000001,-8.545958555,3.8921164439999996,3.593145393,4.9037594360000005,4.527079516000001,0.0,0.0,29.48,23.195,3300,3400,6900,2600,0.474,0.278,75.69,25.36,5.285,21.0,65.14,23.29,0,0,0,1,0,0,0,1,0,0,1,0,265.8,2128.0,95,44,0,158,1,8,17,4,0,8,10,2,0,0,0,0,1,0,5,0,0,0,2,2,35,40,3.05,17.9,4,5,0.0,33.0,64,194,1.0,12.0,2.38875,3.1914700000000003,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0]"
Pm,C,33.14754856,8.825089715,145.0,12.0107,3273.0,4300.0,33.0,33.0,3,14,199,76,7264.0,2260.0,1.21,1.77,1.155,2.55,5.582000000000001,11.2603,0.0,4.496,-4.744621343,-9.209713655,4.075342789,2.242692341,5.134610166,2.825615289,0.0,0.0,33.8425,5.64,9500,500,3100,500,0.0,0.7090000000000001,0.0,8.517000000000001,0.0,117.4,33.67,5.67,0,0,0,0,1,0,1,0,0,0,0,1,1373.0,3823.0,21,77,185,77,9,4,7,4,0,0,0,0,9,0,5,0,0,4,0,2,0,0,2,2,61,6,30.1,1.67,6,2,18.0,0.0,194,194,12.0,3.0,3.6390800000000003,1.4240899999999999,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Sb,Cr,30.19142344,12.09293747,121.76,51.9961,1860.0,2944.0,42.0,160.0,15,6,139,139,6697.0,7140.0,1.26,1.73,2.05,1.66,8.60839,6.76651,0.0,0.0,-4.11736234,-9.50571654,3.981581991,2.8180802789999997,5.016478962,3.550558664,0.0,0.0,31.56,11.19,7900,3100,3400,4100,0.207,0.449,25.23,23.35,19.79,21.0,30.21,12.01,0,0,0,1,0,0,1,1,1,0,0,0,903.78,2180.0,85,49,155,130,3,6,15,6,0,5,10,5,0,0,0,0,3,0,3,0,0,1,2,1,51,24,6.6,11.6,5,4,20.0,115.0,166,229,3.0,8.0,2.9544900000000003,2.46785,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Pm,Zn,33.14754856,15.20568373,145.0,65.38,3273.0,1180.0,33.0,70.0,3,12,199,122,7264.0,7140.0,1.21,1.32,1.155,1.65,5.582000000000001,9.394199,0.0,0.0,-4.744621343,-1.239999915,4.075342789,3.0336942239999996,5.134610166,3.822215211,0.0,0.0,33.8425,13.96,9500,1600,3100,1900,0.0,0.38799999999999996,0.0,25.39,0.0,7.068,33.67,15.19,0,0,0,1,1,0,1,1,0,0,0,0,1373.0,692.68,21,69,185,140,9,0,7,12,0,0,0,10,9,0,5,0,0,0,0,0,0,0,2,2,61,30,30.1,-5.816666667000001,6,4,18.0,43.0,194,194,12.0,6.0,3.6390800000000003,2.62673,"[1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Np,I,19.24483901,42.65885747,237.0,126.90446999999999,4273.0,457.3,0.0,7.7,3,17,190,139,20450.0,4940.0,0.0,0.0,1.36,2.66,6.2657,10.451260000000001,0.0,1.062,-12.94031436,-1.505402418,3.329442683,4.414518159,4.194834921,5.5619443539999995,0.0,0.0,18.45375,43.015,0,4900,0,4800,0.0,0.214,0.0,54.43,3.2,7.76,19.22,42.51,0,0,0,0,1,0,1,0,0,0,0,1,917.0,386.85,22,96,175,0,19,1,7,17,9,0,1,10,10,0,4,0,0,1,0,5,0,0,2,2,93,53,24.8,5.025,7,5,0.0,0.0,62,64,4.0,1.0,2.4862599999999997,2.81108,"[1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Zr,Nd,23.26594327,34.16905488,91.22399999999999,144.24200000000002,4682.0,3373.0,0.0,32.0,4,3,175,201,6511.0,7010.0,1.41,1.2,1.33,1.14,6.6339,5.525,0.0,0.0,-8.545958555,-4.76235134,3.593145393,4.1138142,4.527079516000001,5.183081107,0.0,0.0,23.195,34.81,3400,9500,2600,3100,0.278,0.19,25.36,27.45,21.0,7.14,23.29,34.2,0,0,1,0,0,1,1,1,0,0,0,0,2128.0,1294.0,44,19,158,182,8,10,4,6,8,0,2,0,0,10,0,4,0,0,0,0,0,0,2,2,40,60,17.9,31.4,5,6,33.0,16.0,194,194,12.0,12.0,3.1914700000000003,3.6671,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Si,Ne,20.01637772,37.23218569,28.0855,20.1791,3173.0,26.92,100.0,0.0,14,18,111,58,2330.0,0.9,1.5,0.0,1.9,0.0,8.15168,21.56454,0.773,13.088,-5.424918005,0.09403567,3.4448498389999997,2.934893568,4.340238825,3.6977341860000004,0.0,0.0,20.44,12.64,4700,0,1000,0,0.7120000000000001,1.03,19.99,20.785999999999998,50.21,0.16399999999999998,20.02,23.09,0,0,0,0,0,0,0,0,1,0,0,1,1687.0,24.56,78,99,110,0,4,0,4,8,0,0,0,0,0,0,0,0,4,0,2,6,0,0,2,2,14,10,5.53,0.39432,3,2,0.0,0.0,227,225,4.0,12.0,2.36803,3.04326,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
W,Dy,15.85873442,31.55699985,183.84,162.5,5828.0,2840.0,310.0,41.0,6,3,162,192,19250.0,8551.0,1.81,1.22,2.36,1.22,7.8640300000000005,5.9389,0.0,0.0,-12.95880062,-4.601554453,3.1781057510000004,3.9680792780000003,4.004162334,4.99946661,0.0,0.0,16.05,31.24,7000,9500,4300,3100,0.132,0.17300000000000001,24.27,28.16,52.31,11.35,15.85,31.6,0,0,1,0,0,1,1,1,0,0,0,0,3695.0,1685.0,51,31,135,175,6,4,20,12,6,0,4,0,0,4,14,10,0,0,0,0,0,0,2,2,74,66,11.1,24.5,6,6,161.0,25.0,229,194,8.0,12.0,2.76038,3.52006,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Ga,Br,19.61051348,42.52782532,69.723,79.904,2477.0,332.0,0.0,1.9,13,17,122,120,5904.0,3120.0,1.31,0.0,1.81,2.96,5.999301,11.8138,0.0,1.4569999999999999,-3.0122553030000003,-1.5830253380000001,3.353549368,3.8921164439999996,4.225207441,4.9037594360000005,0.0,0.0,18.8575,29.48,5500,3300,1900,6900,0.373,0.474,26.03,75.69,5.585,5.285,19.6,65.14,0,0,0,0,0,0,1,0,0,0,0,1,302.91,265.8,74,95,134,0,5,1,13,17,0,0,10,10,0,0,0,0,5,1,1,5,0,0,2,2,31,35,8.12,3.05,4,4,0.0,0.0,64,64,5.0,1.0,2.53355,2.38875,"[1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
